SINGLES;series-tournament;2015-05-29;sgomez;sgomez;2;12,11;lcisneros;0;10,7
SINGLES;series-tournament;2015-05-29;jalmodovar;jcnunez;1;11,8,10;jalmodovar;2;6,11,12
SINGLES;series-tournament;2015-05-29;pbedia;ldiaz;0;7,9;pbedia;2;11,11
SINGLES;series-tournament;2015-05-29;idiaz;hrodriguez;0;9,2;idiaz;2;11,11
SINGLES;series-tournament;2015-05-29;gbecares;gbecares;2;11,11;aperez;0;5,8
SINGLES;series-tournament;2015-05-29;uarrien;uarrien;2;9,11,11;mafernandez;1;11,9,8
SINGLES;series-tournament;2015-05-29;jdelgado;jdelgado;2;11,9,14;jvmarcos;1;6,11,12
SINGLES;series-tournament;2015-05-29;inavarro;inavarro;2;11,11;eruiz;0;4,5
SINGLES;series-tournament;2015-05-29;dcarroza;dcarroza;2;4,11,11;hdominguez;1;11,9,9
SINGLES;series-tournament;2015-05-29;pmadrigal;gschiavon;0;9,9;pmadrigal;2;11,11
SINGLES;series-tournament;2015-06-02;nbrena;nbrena;2;11,11;dcarroza;0;9,9
SINGLES;series-tournament;2015-06-02;uarrien;uarrien;2;11,11;aperez;0;7,7
SINGLES;series-tournament;2015-06-02;oscar;oscar;2;11,11;pbedia;0;7,6
SINGLES;series-tournament;2015-06-02;inavarro;inavarro;2;8,11,11;mafernandez;1;11,8,8
SINGLES;series-tournament;2015-06-02;hdominguez;idiaz;1;7,11,8;hdominguez;2;11,8,11
SINGLES;series-tournament;2015-06-02;jdelgado;jdelgado;2;11,11;dmorales;0;7,7
SINGLES;series-tournament;2015-06-02;jalmodovar;jalmodovar;2;8,11,11;pmadrigal;1;11,4,7
SINGLES;series-tournament;2015-06-02;gbecares;chernandez;0;3,4;gbecares;2;11,11
SINGLES;series-tournament;2015-06-09;nbrena;nbrena;2;9,11,11;jdelgado;1;11,3,4
SINGLES;series-tournament;2015-06-09;gbecares;uarrien;1;11,12,7;gbecares;2;7,14,11
SINGLES;series-tournament;2015-06-09;oscar;oscar;2;11,7,11;hdominguez;1;7,11,7
SINGLES;series-tournament;2015-06-09;inavarro;inavarro;2;9,14,11;jalmodovar;1;11,12,9
SINGLES;series-tournament;2015-06-16;gbecares;nbrena;2;7,11,7,11,7;gbecares;3;11,7,11,7,11
SINGLES;series-tournament;2015-06-16;inavarro;oscar;2;7,11,7,11,7;inavarro;3;11,7,11,7,11
SINGLES;series-tournament;2015-06-23;gbecares;gbecares;3;11,7,11,7,11;inavarro;2;7,11,7,11,7
